"id","headline","datatype","forebear","timetype","editstatus","maplvllo","maplvlhi","timelvllo","timelvlhi","maptype","st_npoints","geometrytype"
"18980","British","2","14315","3","4","14","18","5","6","2","8","POLYGON"
"19046","British","2","14315","3","4","14","18","5","6","2","9","POLYGON"
"18978","British","2","14315","3","4","14","18","5","6","2","8","POLYGON"
"18979","British","2","14315","3","4","14","18","5","6","2","10","POLYGON"
"19060","British","2","14315","3","4","14","18","5","6","2","7","POLYGON"
"19061","British","2","14315","3","4","14","18","5","6","2","7","POLYGON"
"19062","British","2","14315","3","4","14","18","5","6","2","7","POLYGON"
"18858","British","2","14315","3","4","14","18","5","6","2","61","POLYGON"
"18856","British","2","14315","3","4","14","18","5","6","2","52","POLYGON"
"18859","British","2","14315","3","4","14","18","5","6","2","67","POLYGON"
"18808","British","2","14315","3","4","14","18","5","6","2","67","POLYGON"
"18857","British","2","14315","3","4","14","18","5","6","2","56","POLYGON"
"18929","British","2","14315","3","4","14","18","5","6","2","75","POLYGON"
"18977","British","2","14315","3","4","14","18","5","6","2","12","POLYGON"
"19086","British","2","14315","3","4","14","18","5","6","2","7","POLYGON"
"18838","British India","2","11368","3","4","14","18","5","6","2","67","POLYGON"
"18959","British India","2","11368","3","4","14","18","5","6","2","18","POLYGON"
"18839","British North America","2","11368","3","4","14","18","5","6","2","150","POLYGON"
"18967","Byzantine Empire","2","14011","3","4","14","18","5","6","2","48","POLYGON"
"18968","Byzantine Empire","2","14011","3","4","14","18","5","6","2","31","POLYGON"
"19057","Byzantine Empire","2","14011","3","4","14","18","5","6","2","23","POLYGON"
"18847","Byzantine Empire","2","14011","3","4","14","18","5","6","2","44","POLYGON"
"19002","Byzantine Empire","2","14011","3","4","14","18","5","6","2","34","POLYGON"
"18881","Byzantine Empire","2","14011","3","4","14","18","5","6","2","33","POLYGON"
"18846","Byzantine Empire","2","14011","3","4","14","18","5","6","2","33","POLYGON"
"19076","Byzantine Empire","2","14011","3","4","14","18","5","6","2","26","POLYGON"
"18932","Canada","2","10248","3","4","14","18","5","6","2","26","POLYGON"
"18811","Canada","2","10248","3","4","14","18","5","6","2","121","POLYGON"
"19007","Chiloe (Chile)","3","10646","3","4","14","18","5","6","2","4","POLYGON"
"18886","Chiloe (Chile)","3","10646","3","4","14","18","5","6","2","5","POLYGON"
"19019","Classical","2","6","3","4","14","18","5","6","2","9","POLYGON"
"18898","Classical","2","6","3","4","14","18","5","6","2","30","POLYGON"
"18971","Crusaders","2","14111","3","4","14","18","5","6","2","10","POLYGON"
"19058","Crusaders","2","14111","3","4","14","18","5","6","2","4","POLYGON"
"18848","Crusaders","2","14111","3","4","14","18","5","6","2","59","POLYGON"
"18970","Crusaders","2","14111","3","4","14","18","5","6","2","6","POLYGON"
"18850","Crusaders","2","14111","3","4","14","18","5","6","2","56","POLYGON"
"18969","Crusaders","2","14111","3","4","14","18","5","6","2","10","POLYGON"
"18849","Crusaders","2","14111","3","4","14","18","5","6","2","47","POLYGON"
"18885","Denmark","2","14879","3","4","14","18","5","6","2","119","POLYGON"
"19006","Denmark","2","14879","3","4","14","18","5","6","2","13","POLYGON"
"19031","Dorians","2","6","3","4","14","18","5","6","2","4","POLYGON"
"18910","Dorians","2","6","3","4","14","18","5","6","2","57","POLYGON"
"18995","Dutch East Indies","2","14903","3","4","14","18","5","6","2","26","POLYGON"
"18874","Dutch East Indies","2","14903","3","4","14","18","5","6","2","40","POLYGON"
"19074","Dutch East Indies","2","14903","3","4","14","18","5","6","2","11","POLYGON"
"18998","Eastern Roman Empire","2","14010","3","4","14","18","5","6","2","4","POLYGON"
"18845","Eastern Roman Empire","2","14010","3","4","14","18","5","6","2","120","POLYGON"
"18877","Eastern Roman Empire","2","14010","3","4","14","18","5","6","2","57","POLYGON"
"18966","Eastern Roman Empire","2","14010","3","4","14","18","5","6","2","83","POLYGON"
"19056","Eastern Roman Empire","2","14010","3","4","14","18","5","6","2","7","POLYGON"
"18834","Egypt","3","3","3","4","14","18","5","6","2","25","POLYGON"
"18955","Egypt","3","3","3","4","14","18","5","6","2","10","POLYGON"
"19021","Egypt","2","3","3","4","14","18","5","6","2","4","POLYGON"
"18900","Egypt","2","3","3","4","14","18","5","6","2","15","POLYGON"
"19026","Egypt
Middle Kingdom","2","3","3","4","14","18","5","6","2","11","POLYGON"
"18905","Egypt
Middle Kingdom","2","3","3","4","14","18","5","6","2","25","POLYGON"
"18843","Egypt
New Empire","2","3","3","4","14","18","5","6","2","24","POLYGON"
"18964","Egypt
New Empire","2","3","3","4","14","18","5","6","2","11","POLYGON"
"18920","Elamites","2","13336","3","4","14","18","5","6","2","44","POLYGON"
"19083","Elamites","2","13336","3","4","14","18","5","6","2","5","POLYGON"
"19041","Elamites","2","13336","3","4","14","18","5","6","2","18","POLYGON"
"19097","Elamites","2","13336","3","4","14","18","5","6","2","4","POLYGON"
"18879","Estonia","3","10298","3","4","14","18","5","6","2","16","POLYGON"
"19000","Estonia","3","10298","3","4","14","18","5","6","2","4","POLYGON"
"18862","Fatimids","2","14432","3","4","14","18","5","6","2","59","POLYGON"
"18863","Fatimids","2","14432","3","4","14","18","5","6","2","59","POLYGON"
"18985","Fatimids","2","14432","3","4","14","18","5","6","2","9","POLYGON"
"18984","Fatimids","2","14432","3","4","14","18","5","6","2","18","POLYGON"
"18867","Fatimids","2","14432","3","4","14","18","5","6","2","59","POLYGON"
"18869","Fatimids","2","14432","3","4","14","18","5","6","2","47","POLYGON"
"18993","Fatimids","2","14432","3","4","14","18","5","6","2","15","POLYGON"
"18872","Fatimids","2","14432","3","4","14","18","5","6","2","59","POLYGON"
"18983","Fatimids","2","14432","3","4","14","18","5","6","2","17","POLYGON"
"18990","Fatimids","2","14432","3","4","14","18","5","6","2","10","POLYGON"
"18988","Fatimids","2","14432","3","4","14","18","5","6","2","21","POLYGON"
"18864","Fatimids","2","14432","3","4","14","18","5","6","2","82","POLYGON"
"19075","Fatimids and Mamelukes","2","14088","3","4","14","18","5","6","2","7","POLYGON"
"18875","Fatimids and Mamelukes","2","14088","3","4","14","18","5","6","2","59","POLYGON"
"18996","Fatimids and Mamelukes","2","14088","3","4","14","18","5","6","2","20","POLYGON"
"18926","French","2","10364","3","4","14","18","5","6","2","10","POLYGON"
"18805","French","2","10364","3","4","14","18","5","6","2","12","POLYGON"
"18906","Greece","2","6","3","4","14","18","5","6","2","41","POLYGON"
"19054","Greece","3","6","3","4","14","18","5","6","2","4","POLYGON"
"19027","Greece","2","6","3","4","14","18","5","6","2","4","POLYGON"
"19079","Greece","2","6","3","4","14","18","5","6","2","4","POLYGON"
"18956","Greece","3","6","3","4","14","18","5","6","2","6","POLYGON"
"18835","Greece","3","6","3","4","14","18","5","6","2","28","POLYGON"
"19020","Hellenic Age","2","6","3","4","14","18","5","6","2","9","POLYGON"
"18899","Hellenic Age","2","6","3","4","14","18","5","6","2","30","POLYGON"
"18895","Hellenistic Age","2","6","3","4","14","18","5","6","2","30","POLYGON"
"19016","Hellenistic Age","2","6","3","4","14","18","5","6","2","9","POLYGON"
"18937","Hyksos","2","13502","3","4","14","18","5","6","2","5","POLYGON"
"18803","Hyksos","2","13502","3","4","14","18","5","6","2","8","POLYGON"
"18816","Hyksos","2","13502","3","4","14","18","5","6","2","7","POLYGON"
"18924","Hyksos","2","13502","3","4","14","18","5","6","2","5","POLYGON"
"19003","Indonesia","3","10572","3","4","14","18","5","6","2","35","POLYGON"
"18882","Indonesia","3","10572","3","4","14","18","5","6","2","41","POLYGON"
"19093","Indonesia","3","10572","3","4","14","18","5","6","2","4","POLYGON"
"19077","Indonesia","3","10572","3","4","14","18","5","6","2","30","POLYGON"
"18837","Japan","3","11346","3","4","14","18","5","6","2","57","POLYGON"
"18878","Japan","3","11346","3","4","14","18","5","6","2","57","POLYGON"
"18999","Japan","3","11346","3","4","14","18","5","6","2","31","POLYGON"
"18958","Japan","3","11346","3","4","14","18","5","6","2","31","POLYGON"
"18871","Marmelukes","2","14432","3","4","14","18","5","6","2","82","POLYGON"
"18986","Marmelukes","2","14432","3","4","14","18","5","6","2","9","POLYGON"
"18861","Marmelukes","2","14432","3","4","14","18","5","6","2","82","POLYGON"
"18982","Marmelukes","2","14432","3","4","14","18","5","6","2","11","POLYGON"
"18992","Marmelukes","2","14432","3","4","14","18","5","6","2","48","POLYGON"
"18987","Marmelukes","2","14432","3","4","14","18","5","6","2","48","POLYGON"
"18865","Marmelukes","2","14432","3","4","14","18","5","6","2","82","POLYGON"
"18866","Marmelukes","2","14432","3","4","14","18","5","6","2","82","POLYGON"
"18896","Minoan Civilization","2","6","3","4","14","18","5","6","2","30","POLYGON"
"19017","Minoan Civilization","2","6","3","4","14","18","5","6","2","9","POLYGON"
"18804","Mongols","2","14129","3","4","14","18","5","6","2","134","POLYGON"
"18925","Mongols","2","14129","3","4","14","18","5","6","2","4","POLYGON"
"19018","Mycenaen Empire","2","6","3","4","14","18","5","6","2","9","POLYGON"
"18897","Mycenaen Empire","2","6","3","4","14","18","5","6","2","30","POLYGON"
"18908","Mycenea","2","6","3","4","14","18","5","6","2","39","POLYGON"
"19029","Mycenea","2","6","3","4","14","18","5","6","2","6","POLYGON"
"19030","Mycenea","2","6","3","4","14","18","5","6","2","4","POLYGON"
"18909","Mycenea","2","6","3","4","14","18","5","6","2","61","POLYGON"
"18851","Ottoman Empire","2","14145","3","4","14","18","5","6","2","22","POLYGON"
"18974","Ottoman Empire","2","14145","3","4","14","18","5","6","2","28","POLYGON"
"18973","Ottoman Empire","2","14145","3","4","14","18","5","6","2","15","POLYGON"
"18807","Ottoman Empire","2","14145","3","4","14","18","5","6","2","126","POLYGON"
"18852","Ottoman Empire","2","14145","3","4","14","18","5","6","2","18","POLYGON"
"18975","Ottoman Empire","2","14145","3","4","14","18","5","6","2","10","POLYGON"
"18833","Ottoman Empire","2","14145","3","4","14","18","5","6","2","122","POLYGON"
"18853","Ottoman Empire","2","14145","3","4","14","18","5","6","2","50","POLYGON"
"18806","Ottoman Empire","2","14145","3","4","14","18","5","6","2","20","POLYGON"
"18854","Ottoman Empire","2","14145","3","4","14","18","5","6","2","118","POLYGON"
"18972","Ottoman Empire","2","14145","3","4","14","18","5","6","2","15","POLYGON"
"18928","Ottoman Empire","2","14145","3","4","14","18","5","6","2","48","POLYGON"
"18954","Ottoman Empire","2","14145","3","4","14","18","5","6","2","55","POLYGON"
"18976","Ottoman Empire","2","14145","3","4","14","18","5","6","2","56","POLYGON"
"18927","Ottoman Empire","2","14145","3","4","14","18","5","6","2","11","POLYGON"
"19045","Ottoman Empire","2","14145","3","4","14","18","5","6","2","41","POLYGON"
"19053","Ottoman Empire","2","14145","3","4","14","18","5","6","2","43","POLYGON"
"19059","Ottoman Empire","2","14145","3","4","14","18","5","6","2","57","POLYGON"
